column,stage,action,detail,issue_type,action_taken,base_variable,reason,rows_removed,row_count_changed,target_distribution_changed,imputation_performed,new_indicators_created,unknown_categories_created,requires_manual_decision_before_reversal,related_columns_excluded
endo_resection_adhesiolysis,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_adnexa,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_appendix,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_epiploica,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_fallopian_tube,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_lesion,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_no_resection,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_ovarian_endometrioma_bilateral,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_ovarian_endometrioma_unilateral,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
endo_resection_uterus,B1c_structural_recode,structural_not_applicable_recode,NaN -> 0 where endometriosis_surgery==0 (209 cells recoded),structural_subgroup_missingness,structural_not_applicable_recode,endometriosis_surgery,"Missingness in this column is fully and exclusively explained by endometriosis_surgery==0 (no prior endometriosis surgery -> resection site not applicable), verified by a dedicated read-only audit with zero partial-missingness and zero inconsistent rows. Deterministic structural fill, not statistical/learned imputation.",0.0,False,False,False,0.0,0.0,True,
