column,type,missing_%,applicable_subset_missing_%,structural_nan,applicability_linked_no_preprocessing_mask,imputation_plan,fit_location
AGE,numeric,0.0,,False,False,none,not_applicable_no_imputation_needed
G,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
nulliparity,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
P,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
LIVE_BIRTH,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
EUP,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
AB,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
S_P_CS,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
CS,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
VBAC,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
smoking,categorical,0.0,,False,False,none,not_applicable_no_imputation_needed
alcohol,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
Fetus_Anamoly,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
deep_endometriosis,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
adenomyosis,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
cs_scar_endometriosis,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
peritoneal_endometriosis,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
endometrioma,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
endometriosis_surgery,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
vaginal_opening_during_surgery,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
bowel_lesion_resected,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
bladder_lesion_resected,binary,0.0,,False,False,none,not_applicable_no_imputation_needed
endo_surgery_adhesiolysis,binary,48.5,,True,False,"none for the raw field -- do not apply ordinary most-frequent imputation. Section B5g creates the deterministic, final derived_endo_surgery_adhesion_status representation (3 categories: no_prior_endo_surgery / prior_surgery_without_documented_adhesions / prior_surgery_with_documented_adhesions) from the endometriosis_surgery / endo_surgery_adhesiolysis subgroup context. The raw column is dropped from the final B export (Section B7).",not_applicable_use_derived_subgroup_aware_representation
weight_before_pregnancy,numeric,20.6,,False,False,"APPROVED: median imputation. Data Cleaning B preserves NaN and performs no imputation itself -- the median is fitted training-fold-only in modeling (SimpleImputer, modeling_core.py). Only the fitting location is deferred.",approved_median_fold_safe_modeling_core
