variable,predictor_classification,original_or_derived,source_columns,domain,timing,timing_raw,missing_%,raw_missing_pct,primary_missing_pct_for_modeling,effective_missing_pct_for_exclusion,structural_applicability_status,applicability_aware_missing_pct_sensitivity,structural_applicability_applicable_n,structural_applicability_genuine_missing_applicable_n,model_entry_mode,redundant_with,event_count_info,min_cell_count,p_value,fdr_q_value,effect_size,effect_size_type,test_status,test,included_in_bh,bh_family_n,effect_contrast,effect_estimate_status,target0_n,target1_n,redundancy_flag,high_target_association_review,impossible_flag,separation_flag,too_sparse_flag,clinical_priority_tier,primary_model_eligible,candidate_role_for_modeling_review,reason,priority_score,data_type,non_missing_count,n_unique,zero_variance_flag,hard_exclusion_reason,eligibility_status,rare_feature_flag,timing_uncertain,meets_quality_bar,redundancy_group,redundancy_demoted,redundancy_unresolved,redundancy_unresolved_group,soft_warning_flags,review_reason,physical_variable_type,physical_n_categories,model_representation_type,model_preprocessing_contract_id,hard_forbidden_with,relationship_groups,relationship_review_required,earliest_entry_stage,fold_safe_requirement,downstream_preprocessing_requirement
nulliparity,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=10,10,0.0,0.0001,5.045,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,2,yes,association_signal_review,"FDR-significant + high clinical tier -- a signal worth investigating, not automatic inclusion",10.737,binary,431,2,False,,eligible,False,False,True,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history),,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,parity_obstetric_history,True,1,none,binary_passthrough_no_encoding
pregnancy_related_hypertensive_disorder,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=7,7,0.0102,0.1034,3.867,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,9.705,binary,431,2,False,,eligible,False,False,True,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation),high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,hypertension_spectrum,True,1,none,binary_passthrough_no_encoding
gestational_diabetes,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=15,15,0.0209,0.1191,2.136,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,8.518,binary,431,2,False,,eligible,False,False,True,diabetes_representation,False,True,diabetes_representation,redundancy_unresolved(family=diabetes_representation),high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,diabetes_representation,True,1,none,binary_passthrough_no_encoding
aspirin_during_pregnancy,predictor_allowed,original,—,treatment_medication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=7,7,0.1911,0.4692,1.789,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,2,yes,general_review,no FDR signal; include only with clinical justification,8.163,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,"Represents pregnancy risk-management context/prophylaxis, not a causal medication effect.; no FDR signal; include only with clinical justification",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
S_P_CS,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=4,4,0.3018,0.646,1.784,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,2,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",8.158,binary,431,2,False,,eligible,False,False,True,prior_cs_count,False,True,prior_cs_count,redundancy_unresolved(family=prior_cs_count); sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_cesarean_history,True,1,none,binary_passthrough_no_encoding
AGE,predictor_allowed,original,—,demographics,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=32.0,-1,0.0136,0.1191,0.197,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,False,False,False,False,False,2,yes,general_review,no FDR signal; include only with clinical justification,7.788,numeric,431,27,False,,eligible,False,False,True,—,False,False,—,,no FDR signal; include only with clinical justification,continuous,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,,False,1,none,scale_within_training_fold_if_estimator_requires
mode_of_conception_ivf_vs_all,predictor_allowed,original,—,conception,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=22,22,0.1895,0.4692,1.462,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,7.76,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,mode_of_conception,conception_mode_representation,True,1,none,binary_passthrough_no_encoding
IUGR,predictor_allowed,original,—,fetal_placental,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=3,3,0.7295,1.0,1.224,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,2,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",7.404,binary,431,2,False,,eligible,False,False,True,placental_dysfunction_representation,False,True,placental_dysfunction_representation,redundancy_unresolved(family=placental_dysfunction_representation); sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,placental_dysfunction_proxy,True,1,none,binary_passthrough_no_encoding
endometrioma,predictor_allowed,original,—,endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=25,25,0.5199,0.7799,0.835,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,7.361,binary,431,2,False,,eligible,False,False,True,endometrioma_size_status_representation,False,True,endometrioma_size_status_representation,redundancy_unresolved(family=endometrioma_size_status_representation),high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,endometrioma_presence_laterality; endometrioma_size_status,endometrioma_representation_phenotype,True,1,none,binary_passthrough_no_encoding
adenomyosis,predictor_allowed,original,—,endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=26,26,0.5558,0.8186,1.179,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,7.329,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
endometriosis_surgery,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=30,30,0.6946,0.9867,0.897,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,7.217,binary,431,2,False,,eligible,False,False,True,endo_surgery_adhesion_status_representation,False,True,endo_surgery_adhesion_status_representation,redundancy_unresolved(family=endo_surgery_adhesion_status_representation),high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,derived_endo_surgery_adhesion_status; derived_prior_endo_surgery_procedure_status,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding
deep_endometriosis,predictor_allowed,original,—,endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=21,21,0.8821,1.0,0.958,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,2,yes,general_review,no FDR signal; include only with clinical justification,7.086,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
cs_scar_endometriosis,predictor_allowed,original,—,endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=5,5,0.0174,0.1191,4.63,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,1,yes,clinical_priority_review,high clinical tier but not FDR-significant,7.065,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; boundary_sparse_instability_risk,high clinical tier but not FDR-significant,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
VBAC,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,1.0,1.0,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,2,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",7.0,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_cesarean_history,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_5,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.3407,0.673,0.277,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",6.567,binary,431,2,False,,eligible,False,False,True,—,False,False,—,sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_4,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=2,2,0.09,0.3169,0.305,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",6.375,binary,431,2,False,,eligible,False,False,True,—,False,False,—,sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
BMI_before,predictor_allowed,original,—,anthropometric,pre_pregnancy,pre_pregnancy,26.5,26.5,26.5,26.5,none,,,,direct,,med=22.0,-1,0.8911,1.0,0.013,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,272,45,True,False,False,False,False,2,yes,general_review,high redundancy with another approved variable,5.992,numeric,317,252,False,,eligible,False,False,True,anthropometry,False,True,anthropometry,redundancy_unresolved(family=anthropometry),high redundancy with another approved variable,continuous,,fold_safe_recomputed_continuous,FS_RECOMPUTED_BMI_V1,,prepregnancy_anthropometry,True,1,training_fold_only,training_fold_recompute_from_fold_safe_imputed_components
P,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=0.0,-1,0.0,0.0006,-0.304,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,True,False,False,False,False,1,yes,general_review,high redundancy with another approved variable,5.716,numeric,431,6,False,,eligible,False,False,True,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history),high redundancy with another approved variable,count,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,parity_obstetric_history,True,1,none,scale_within_training_fold_if_estimator_requires
oligohydramnios,predictor_allowed,original,—,fetal_placental,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=6,6,0.1169,0.3789,2.265,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,1,yes,general_review,high redundancy with another approved variable,5.635,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
adenomyosis_feature_9,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.4581,0.7445,2.039,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",5.425,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
G,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=2.0,-1,0.0031,0.0405,-0.225,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,True,False,False,False,False,1,yes,general_review,high redundancy with another approved variable,5.4,numeric,431,9,False,,eligible,False,False,True,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history),high redundancy with another approved variable,count,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,parity_obstetric_history,True,1,none,scale_within_training_fold_if_estimator_requires
derived_placental_dysfunction_proxy,predictor_allowed,derived,"any_PET_cat, IUGR",placental_dysfunction,pregnancy,pregnancy,3.5,3.5,3.5,3.5,none,,,,direct,,min_cell=7,7,0.157,0.4209,2.107,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,356,60,False,False,False,False,False,derived,yes,general_review,no FDR signal; include only with clinical justification,5.351,binary,416,2,False,,eligible,False,False,True,placental_dysfunction_representation,False,True,placental_dysfunction_representation,redundancy_unresolved(family=placental_dysfunction_representation),no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,placental_dysfunction_proxy,True,1,none,binary_passthrough_no_encoding; most_frequent_or_explicit_unknown_within_training_fold
derived_diabetes_type_grouped,predictor_allowed,derived,diabetes_type,diabetes,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.0035,0.0405,0.193,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,False,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",5.272,categorical,431,4,False,,eligible,False,False,True,diabetes_representation,False,True,diabetes_representation,redundancy_unresolved(family=diabetes_representation); separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",categorical,4.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,diabetes_type,diabetes_representation,True,1,none,one_hot_encode_within_training_fold
indication_for_induction_status,intrapartum_predictor_exclude_from_prelabor_model,original,"induction_any_bin, indication_for_induction_clean",labor_induction,admission_or_pre_delivery,admission_labor,0.0,0.0,0.0,0.0,none,,,,direct,induction_any_bin,min_cell=0,0,0.0006,0.0097,0.358,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,True,False,derived,review,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.932,categorical,431,22,False,,eligible,False,False,True,indication_for_induction_status_representation,False,True,indication_for_induction_status_representation,redundancy_unresolved(family=indication_for_induction_status_representation); separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",categorical,22.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,induction_any_bin,labor_induction_representation,True,3,none,one_hot_encode_within_training_fold
adenomyosis_feature_10,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,1.0,1.0,0.669,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.804,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
derived_prior_endo_surgery_procedure_status,predictor_allowed,derived,"endometriosis_surgery, endo_resection_ovarian_endometrioma_unilateral, endo_resection_lesion, endo_resection_adhesiolysis",prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=5,5,0.0269,0.1364,0.129,Cramér's V,tested,chi-square,True,81,association_strength (unsigned),not_applicable,370,61,False,False,False,False,False,derived,yes,general_review,no FDR signal; include only with clinical justification,4.516,categorical,431,3,False,,eligible,False,False,True,prior_endo_surgery_status_representation,False,True,prior_endo_surgery_status_representation,redundancy_unresolved(family=prior_endo_surgery_status_representation),no FDR signal; include only with clinical justification,categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,endometriosis_surgery,prior_endometriosis_surgery,True,1,none,one_hot_encode_within_training_fold
any_PET_cat,predictor_allowed,original,any_PET,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.0461,0.2056,0.12,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.48,categorical,431,3,False,,eligible,False,False,True,placental_dysfunction_representation,False,True,placental_dysfunction_representation,redundancy_unresolved(family=placental_dysfunction_representation); sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,,hypertension_spectrum; placental_dysfunction_proxy,True,1,none,one_hot_encode_within_training_fold
derived_hypertension_pih_pet_spectrum,predictor_allowed,derived,"PIH, any_PET_cat, SIPET, HELLP, eclampsia",hypertension,pregnancy,pregnancy,3.5,3.5,3.5,3.5,none,,,,direct,,min_cell=3,3,0.0337,0.1606,0.14,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,356,60,False,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.42,categorical,416,3,False,,eligible,False,False,True,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,,hypertension_spectrum; placental_dysfunction_proxy,True,1,none,one_hot_encode_within_training_fold; most_frequent_or_explicit_unknown_within_training_fold
adenomyosis_feature_2,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,1.0,1.0,1.217,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.393,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
endometrioma_size_status,predictor_allowed,original,"endometrioma, endometrioma_size_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=4,4,0.3798,0.6992,0.085,Cramér's V,tested,chi-square,True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.34,categorical,431,4,False,,eligible,False,False,True,endometrioma_size_status_representation,False,True,endometrioma_size_status_representation,redundancy_unresolved(family=endometrioma_size_status_representation); sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",categorical,4.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,endometrioma,endometrioma_representation_phenotype,True,1,none,one_hot_encode_within_training_fold
severe_PET_cat,predictor_allowed,original,severe_PET,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.2436,0.5638,0.081,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,False,True,derived,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.324,categorical,431,3,False,,eligible,False,False,True,—,False,False,—,sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,,hypertension_spectrum; placental_dysfunction_proxy,True,1,none,one_hot_encode_within_training_fold
endometrioma_presence_laterality,predictor_allowed,original,"endometrioma, endometrioma_laterality",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.4738,0.7445,0.076,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.304,categorical,431,4,False,,eligible,False,False,True,endometrioma_presence_laterality_representation,False,True,endometrioma_presence_laterality_representation,redundancy_unresolved(family=endometrioma_presence_laterality_representation); separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",categorical,4.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,endometrioma,endometrioma_representation_phenotype,True,1,none,one_hot_encode_within_training_fold
