variable_name,variable_type,n_categories
delivery_id,id,
subject_number,id,
AGE,continuous,
G,count,
nulliparity,binary,2.0
P,count,
LIVE_BIRTH,count,
EUP,binary,2.0
AB,count,
S_P_CS,binary,2.0
CS,count,
VBAC,binary,2.0
smoking,categorical,3.0
alcohol,binary,2.0
any_medical_problem,binary,2.0
any_medical_problem_comment,text,
regular_medications,binary,2.0
regular_medications_comment,text,
Fetus_Anamoly,binary,2.0
Fetus_Anamoly_comment,text,
deep_endometriosis,binary,2.0
adenomyosis,binary,2.0
superficial_endometriosis,binary,2.0
cs_scar_endometriosis,binary,2.0
peritoneal_endometriosis,binary,2.0
diagnosis_date,date_time,
endometrioma,binary,2.0
endometrioma_size,text,
endometrioma_place,text,
adenomyosis_sonographic_features,text,
endometriosis_surgery,binary,2.0
endo_resection_sites,text,
vaginal_opening_during_surgery,binary,2.0
bowel_lesion_resected,binary,2.0
bladder_lesion_resected,binary,2.0
surgery_details,text,
endo_surgery_adhesiolysis,binary,2.0
comment_1,text,
weight_before_pregnancy,continuous,
weight_in_pregnancy,continuous,
height,continuous,
BMI_before,continuous,
BMI_after,continuous,
aspirin_during_pregnancy,binary,2.0
clexane_during_pregnancy,binary,2.0
mode_of_conception,categorical,4.0
mode_of_conception_details,text,
mode_of_conception_ivf_vs_all,binary,2.0
PPROM,binary,2.0
gestational_age_at_PPROM,text,
pregnancy_related_hypertensive_disorder,binary,2.0
PIH,binary,2.0
mild_PET,binary,2.0
severe_PET,binary,2.0
any_PET,binary,2.0
SIPET,binary,2.0
HELLP,binary,2.0
eclampsia,binary,2.0
gestational_diabetes,binary,2.0
diabetes_type,categorical,6.0
IUGR,binary,2.0
placental_abruption,binary,2.0
chorioamnionitis,binary,2.0
PPH,binary,2.0
oligohydramnios,binary,2.0
polyhydramnios,binary,2.0
meconium_stained_amniotic_fluid,binary,2.0
IUFD,binary,2.0
celestone,binary,2.0
magnesium,binary,2.0
comment_2,text,
gestational_age_at_delivery,text,
induction_of_labor,categorical,4.0
start_of_labor,categorical,9.0
indication_for_induction,text,
CS_case_vs_control,binary,2.0
comment_3,text,
trial_of_labor,binary,2.0
type_of_CS,categorical,3.0
indication_for_CS,categorical,18.0
comment_4,text,
suspected_endo_lesions_during_CS,binary,2.0
abdominal_cavity_findings,binary,2.0
other_surgery_complications,binary,2.0
adhesions,binary,2.0
comment_5,text,
blood_loss_during_surgery,continuous,
Hb_before_delivery,continuous,
Hb_after_delivery,continuous,
Hb_diff,text,
intrapartum_fever,binary,2.0
postpartum_fever,binary,2.0
surgical_site_infection,binary,2.0
endometritis,binary,2.0
any_blood_product_transfusion,binary,2.0
hospitalization_days,count,
comment_6,text,
gender,categorical,2.0
pH_vein,continuous,
pH_artery,continuous,
pH_artery_or_vein_less_than_7_1,binary,2.0
apgar1,ordinal,8.0
apgar5,ordinal,5.0
apgar_5_less_than_7,binary,2.0
birth_weight,continuous,
percentile_by_Dolberg,continuous,
SGA,binary,2.0
LGA,binary,2.0
IVH,binary,2.0
IVH_grade_1_2,binary,2.0
IVH_grade_3_4,binary,2.0
NICU_admission,binary,2.0
RDS,binary,2.0
mechanical_ventilation,binary,2.0
length_of_mechanical_ventilation,text,
NEC,binary,2.0
sepsis,binary,2.0
hypoglycemia,binary,2.0
neonatal_jaundice_used_phototherapy,binary,2.0
neonatal_death,binary,2.0
age_at_neonatal_death,count,
congenital_anomaly,binary,2.0
congenital_anomaly_comment,text,
long_term_outcome,binary,2.0
long_term_outcome_comment,text,
trial_of_labor_corrected,binary,2.0
decision67_sensitivity_19group_excluded,binary,2.0
decision67_sensitivity_26group_excluded,binary,2.0
target_intrapartum_cs,binary,2.0
diagnosis_year,continuous,
adenomyosis_sonographic_features_clean,categorical,20.0
endometrioma_size_clean,continuous,
endometrioma_place_clean,categorical,3.0
endometrioma_laterality,categorical,2.0
endometriosis_surgery_comment,text,
endo_resection_sites_clean,categorical,33.0
endo_resection_no_resection,binary,2.0
endo_resection_ovarian_endometrioma_unilateral,binary,2.0
endo_resection_ovarian_endometrioma_bilateral,binary,2.0
endo_resection_adnexa,binary,2.0
endo_resection_fallopian_tube,binary,2.0
endo_resection_epiploica,binary,2.0
endo_resection_uterus,binary,2.0
endo_resection_lesion,binary,2.0
endo_resection_adhesiolysis,binary,2.0
endo_resection_appendix,binary,2.0
gestational_age_at_delivery_days,continuous,
gestational_age_at_PPROM_days,continuous,
induction_any_bin,binary,2.0
indication_for_induction_clean,categorical,20.0
indication_for_CS_clean,categorical,14.0
suspected_endo_lesions_during_CS_clean,binary,2.0
Hb_diff_clean,continuous,
intrapartum_fever_or_chorioamnionitis_bin,binary,2.0
RDS_comment,text,
TTN_bin,binary,2.0
endometrioma_size_status,categorical,4.0
endometrioma_presence_laterality,categorical,4.0
severe_PET_cat,categorical,3.0
any_PET_cat,categorical,3.0
adenomyosis_feature_1,binary,2.0
adenomyosis_feature_2,binary,2.0
adenomyosis_feature_3,binary,2.0
adenomyosis_feature_4,binary,2.0
adenomyosis_feature_5,binary,2.0
adenomyosis_feature_6,binary,2.0
adenomyosis_feature_7,binary,2.0
adenomyosis_feature_8,binary,2.0
adenomyosis_feature_9,binary,2.0
adenomyosis_feature_10,binary,2.0
adenomyosis_feature_11,binary,2.0
adenomyosis_features_unknown,binary,2.0
derived_endo_surgery_adhesion_status,categorical,3.0
indication_for_induction_status,categorical,22.0
derived_prior_endo_surgery_procedure_status,categorical,3.0
derived_placental_dysfunction_proxy,binary,2.0
derived_hypertension_pih_pet_spectrum,categorical,3.0
derived_diabetes_type_grouped,categorical,4.0
