exposure,exposure_class,row_type,level,reference_level,model_variant,comparison,n,events,non_events,unique_subject_groups,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,fit_status,separation_status,support_status,caution_flag,caution_reason,notes,bh_q,in_bh_family,missingness_loss_n,missingness_loss_pct
adenomyosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,PRIMARY,value 1 = adenomyosis present (QA rule: sonographic feature codes 1-10 present -> must be 1) vs value 0 = disease absence (no adenomyosis),431,61,370,430,1.0856414759242976,0.5969699627048402,1.9743328607470167,0.7877054704500397,OK,none,OK,False,,,0.8413429320487512,True,0,0.0
adenomyosis,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,SENSITIVITY_IVF,value 1 = adenomyosis present (QA rule: sonographic feature codes 1-10 present -> must be 1) vs value 0 = disease absence (no adenomyosis),431,61,370,430,1.1189838773408551,0.6130015342284437,2.042613024329156,0.7142669888551518,OK,none,OK,False,,,,False,0,0.0
adenomyosis_feature_1,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,1.2165291108515264,0.5593952998221157,2.6456122853013215,0.6209721084043451,OK,none,OK,False,,,0.8413429320487512,True,0,0.0
adenomyosis_feature_1,STANDARD_ADJUSTED_MODEL_FEASIBLE,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,1.1722282986611061,0.5326281084627388,2.5798848433813757,0.6929740362549155,OK,none,OK,False,,,,False,0,0.0
adenomyosis_feature_10,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,0.5565967267860559,0.05916720971650418,5.23600686517646,0.6084210578254221,OK,none,SPARSE_EXPLORATORY,True,Only 1 exposed event despite 10 exposed unique subjects (10-19 band).,,0.8413429320487512,True,0,0.0
adenomyosis_feature_10,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,0.6275036931459171,0.06761674131892036,5.823422975303664,0.6818329761023392,OK,none,SPARSE_EXPLORATORY,True,Only 1 exposed event despite 10 exposed unique subjects (10-19 band).,,,False,0,0.0
adenomyosis_feature_11,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,PRIMARY,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, that 1 row is an event (zero non-event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_11,STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE,source,,,SENSITIVITY_IVF,not fitted (class C -- STANDARD_ADJUSTED_MODEL_NOT_DEFENSIBLE),431,61,370,430,,,,,NOT_FITTED,other,INSUFFICIENT_SUPPORT,True,"Complete/structural separation -- exposed N=1, that 1 row is an event (zero non-event cell).",Class C exposure: never fit with ordinary adjusted logistic regression per the approved design lock.,,False,0,0.0
adenomyosis_feature_2,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,PRIMARY,value 1 vs value 0,431,61,370,430,1.4485868781433022,0.1962703431755966,10.691395906163907,0.716321882872087,OK,none,SPARSE_EXPLORATORY,True,Exposed group has only 1 exposed event despite 6 exposed unique subjects (5-9 band) -- adjusted-OR precision would rest on an extremely thin event margin.,,0.8413429320487512,True,0,0.0
adenomyosis_feature_2,STANDARD_ADJUSTED_MODEL_HIGH_CAUTION,source,,,SENSITIVITY_IVF,value 1 vs value 0,431,61,370,430,1.756834178284497,0.22961304130000404,13.442034095772017,0.5872888913970424,OK,none,SPARSE_EXPLORATORY,True,Exposed group has only 1 exposed event despite 6 exposed unique subjects (5-9 band) -- adjusted-OR precision would rest on an extremely thin event margin.,,,False,0,0.0
