predictor,value,rows,unique_subjects,events,non_events
P,0,237,237,51,186
P,1,119,119,3,116
P,2,57,57,5,52
P,3,13,13,0,13
P,4,3,3,1,2
P,5,2,2,1,1
G,1,173,173,37,136
G,2,129,129,12,117
G,3,73,73,5,68
G,4,25,25,2,23
G,5,17,17,2,15
G,6,10,10,2,8
G,7,2,2,1,1
G,9,1,1,0,1
G,10,1,1,0,1
CS,0,413,412,57,356
CS,1,16,16,3,13
CS,2,2,2,1,1
LIVE_BIRTH,0,246,246,51,195
LIVE_BIRTH,1,110,110,3,107
LIVE_BIRTH,2,56,56,4,52
LIVE_BIRTH,3,15,15,2,13
LIVE_BIRTH,4,3,3,1,2
LIVE_BIRTH,5,1,1,0,1
AB,0,303,302,43,260
AB,1,92,92,14,78
AB,2,25,25,3,22
AB,3,7,7,0,7
AB,4,4,4,1,3
