predictor,physical_type,reporting_unit,analysis_N,events,non_events,unique_subjects,n_unique_values,diagnostic_method,linear_fit_status,flexible_fit_status,robust_wald_stat,robust_wald_df,robust_wald_p,curve_max_abs_probability_difference,curve_mean_abs_probability_difference,central_range_q05,central_range_q95,sparse_tail_present,any_level_zero_events,any_level_zero_non_events,functional_form_status,review_note
AGE,continuous,1 year,431,61,370,430,27,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,3.14615402675981,2.0,0.2074060084249623,0.0318957910439823,0.0177669541359694,23.0,39.0,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.2074 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
BMI_before,continuous,1 kg/m^2,317,45,272,316,252,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,1.950328300734491,2.0,0.3771304423813079,0.0411998365007502,0.014594521423576,17.551485354,32.276203448,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.3771 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
height,continuous,5 cm,363,52,311,362,33,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,0.9346456897246452,2.0,0.626677738061861,0.0201326546174089,0.0108833913968468,152.0,174.0,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.6267 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
weight_before_pregnancy,continuous,5 kg,342,48,294,341,59,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,9.15052939172579,2.0,0.0103035715042644,0.0985589604025851,0.0417147728731699,45.0,89.0,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.0103 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
Hb_before_delivery,continuous,1 g/dL,392,55,337,392,133,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,2.055752089723998,2.0,0.3577660331700658,0.0264913573491673,0.01427873578626,10.355,13.7435,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.3578 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
gestational_age_at_delivery_days,continuous,1 week (7 days),431,61,370,430,53,"linear (raw native unit) vs natural cubic spline (cr, df=3); cluster-robust Wald test of the linear restriction",OK,OK,6.729412919756645,2.0,0.0345721629455984,0.0868889954974319,0.0283635006937158,257.0,288.0,,,,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.0346 (df=2) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
P,count,1 unit (count),431,61,370,430,6,linear (per 1 unit) vs predefined low-df quadratic (x + x^2); cluster-robust Wald test of H0: beta_x_squared=0,OK,OK,14.401415189215573,1.0,0.0001476912756280243,0.6738430776905132,0.15908169007730455,0.0,2.0,1.0,1.0,0.0,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.0001 (df=1) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
G,count,1 unit (count),431,61,370,430,9,linear (per 1 unit) vs predefined low-df quadratic (x + x^2); cluster-robust Wald test of H0: beta_x_squared=0,OK,OK,6.573768370469901,1.0,0.010349259344264736,0.47595999851377585,0.10254693420634273,1.0,5.0,1.0,1.0,0.0,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.0103 (df=1) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
CS,count,1 unit (count),431,61,370,430,3,linear (per 1 unit) vs predefined low-df quadratic (x + x^2); cluster-robust Wald test of H0: beta_x_squared=0,OK,OK,0.3286474691352087,1.0,0.5664565946661512,0.1522560723378591,0.0636858026546372,0.0,0.0,1.0,0.0,0.0,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.5665 (df=1) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
LIVE_BIRTH,count,1 unit (count),431,61,370,430,6,linear (per 1 unit) vs predefined low-df quadratic (x + x^2); cluster-robust Wald test of H0: beta_x_squared=0,OK,OK,7.999659302612335,1.0,0.004678615213879756,0.6748771881480329,0.16172382033248708,0.0,2.0,1.0,1.0,0.0,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.0047 (df=1) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
AB,count,1 unit (count),431,61,370,430,5,linear (per 1 unit) vs predefined low-df quadratic (x + x^2); cluster-robust Wald test of H0: beta_x_squared=0,OK,OK,0.0002442358948834666,1.0,0.9875311290746062,0.002055276686152935,0.0006769700685384794,0.0,2.0,1.0,1.0,0.0,AWAITING_MANUAL_FUNCTIONAL_FORM_DECISION,"Diagnostic evidence computed (cluster-robust Wald test of the linear restriction, plus descriptive curve-difference metrics and the plotted shape over the observed central range). This is exploratory, data-informed evidence for MANUAL review -- no automated linear/nonlinear verdict is assigned. robust_wald_p=0.9875 (df=1) is ONE input among several (curve shape, data support at each part of the range, clinical plausibility, parsimony), never a standalone p<0.05 rule."
