predictor,earliest_stage,domain,endometriosis_specific,inferential_role,publication_status,N_nonmissing,missing_n,missing_pct,unique_values,value_1_rows,value_1_unique_subjects
nulliparity,1,obstetric_history,False,BINARY,APPROVED,431,0,0.0,2,237.0,237.0
pregnancy_related_hypertensive_disorder,1,pregnancy_complication,False,BINARY,APPROVED,431,0,0.0,2,19.0,19.0
gestational_diabetes,1,pregnancy_complication,False,BINARY,APPROVED,431,0,0.0,2,64.0,64.0
aspirin_during_pregnancy,1,treatment_medication,False,BINARY,APPROVED,431,0,0.0,2,32.0,32.0
S_P_CS,1,obstetric_history,False,BINARY,APPROVED,431,0,0.0,2,18.0,18.0
AGE,1,demographics,False,CONTINUOUS,APPROVED,431,0,0.0,27,,
mode_of_conception_ivf_vs_all,1,conception,False,BINARY,APPROVED,431,0,0.0,2,125.0,125.0
IUGR,1,fetal_placental,False,BINARY,APPROVED,431,0,0.0,2,18.0,18.0
endometrioma,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,193.0,192.0
adenomyosis,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,169.0,169.0
endometriosis_surgery,1,prior_endo_surgery,True,BINARY,APPROVED,431,0,0.0,2,222.0,221.0
deep_endometriosis,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,152.0,152.0
cs_scar_endometriosis,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,12.0,12.0
VBAC,1,obstetric_history,False,BINARY,APPROVED,431,0,0.0,2,2.0,2.0
adenomyosis_feature_5,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,22.0,22.0
adenomyosis_feature_4,1,endometriosis_phenotype,True,BINARY,APPROVED,431,0,0.0,2,39.0,39.0
BMI_before,1,anthropometric,False,CONTINUOUS,APPROVED,317,114,26.5,252,,
P,1,obstetric_history,False,DESCRIPTIVE_ONLY,DESCRIPTIVE_ONLY,431,0,0.0,6,,
