predictor,hypothesis_type,raw_p,bh_q,in_bh_family,fit_status
nulliparity,binary_coefficient,7.746232074355201e-06,0.00024013319430501125,True,OK
pregnancy_related_hypertensive_disorder,binary_coefficient,0.006681566927094917,0.10356428736997121,True,OK
gestational_diabetes,binary_coefficient,0.023618473146623492,0.16201664567907745,True,OK
aspirin_during_pregnancy,binary_coefficient,0.19922511592296843,0.4574798958231127,True,OK
S_P_CS,binary_coefficient,0.3230261064671762,0.5759981199616601,True,OK
AGE,continuous_coefficient,0.004837230381809513,0.09996942789072993,True,OK
mode_of_conception_ivf_vs_all,binary_coefficient,0.19236924549034262,0.4574798958231127,True,OK
IUGR,binary_coefficient,0.755568717996057,0.8995775974385339,True,OK
endometrioma,binary_coefficient,0.5214344961457014,0.7625108499476593,True,OK
adenomyosis,binary_coefficient,0.5571148883310959,0.7675805128117321,True,OK
endometriosis_surgery,binary_coefficient,0.6954661434973904,0.860083495113267,True,OK
deep_endometriosis,binary_coefficient,0.8824084234716103,0.9118220375873307,True,OK
cs_scar_endometriosis,binary_coefficient,0.01120900705069428,0.13899168742860907,True,OK
VBAC,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
adenomyosis_feature_5,binary_coefficient,0.21503182206069116,0.4761418917058161,True,OK
adenomyosis_feature_4,binary_coefficient,0.10928199592629678,0.2945862498882783,True,OK
BMI_before,continuous_coefficient,0.45112999856139346,0.6992514977701598,True,OK
P,not_estimable,,,False,NOT_FITTED
oligohydramnios,binary_coefficient,0.10037644994097615,0.2945862498882783,True,OK
adenomyosis_feature_9,binary_coefficient,0.5411367322209195,0.7625108499476593,True,OK
G,count_coefficient,0.15404925091743749,0.39796056487004683,True,OK
derived_placental_dysfunction_proxy,binary_coefficient,0.1066775516725698,0.2945862498882783,True,OK
derived_diabetes_type_grouped,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
indication_for_induction_status,not_estimable,,,False,NOT_FITTED
adenomyosis_feature_10,binary_coefficient,0.7055458380344076,0.860083495113267,True,OK
derived_prior_endo_surgery_procedure_status,categorical_omnibus,0.04308161847022462,0.18955683777306506,True,OK
any_PET_cat,categorical_omnibus,0.06997491790238637,0.24393409291352922,True,OK
derived_hypertension_pih_pet_spectrum,categorical_omnibus,0.028744888749513742,0.16201664567907745,True,OK
adenomyosis_feature_2,binary_coefficient,0.8593645128805487,0.9030610135354918,True,OK
endometrioma_size_status,categorical_omnibus,0.4059050586915042,0.6622661483914015,True,OK
severe_PET_cat,categorical_omnibus,0.32306926965701355,0.5759981199616601,True,OK
endometrioma_presence_laterality,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
clexane_during_pregnancy,binary_coefficient,0.8471887946775306,0.9030610135354918,True,OK
smoking,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
adenomyosis_features_unknown,binary_coefficient,0.8175447826445168,0.8995775974385339,True,OK
adenomyosis_feature_3,binary_coefficient,0.8270310169999425,0.8995775974385339,True,OK
derived_endo_surgery_adhesion_status,categorical_omnibus,0.7999274889930901,0.8995775974385339,True,OK
CS,not_estimable,,,False,NOT_FITTED
endo_resection_no_resection,binary_coefficient,0.045860525267677026,0.18955683777306506,True,OK
adenomyosis_feature_1,binary_coefficient,0.9298003548340266,0.9298003548340266,True,OK
peritoneal_endometriosis,binary_coefficient,0.9242709780400833,0.9298003548340266,True,OK
adenomyosis_feature_6,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
adenomyosis_feature_7,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
adenomyosis_feature_11,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
adenomyosis_feature_8,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
induction_any_bin,binary_coefficient,4.713731431367744e-07,2.9225134874480015e-05,True,OK
placental_abruption,binary_coefficient,0.07051666029375876,0.24393409291352922,True,OK
magnesium,binary_coefficient,0.07475399621543623,0.24393409291352922,True,OK
mild_PET,binary_coefficient,0.07475399621543637,0.24393409291352922,True,OK
PPROM,binary_coefficient,0.016377038255630482,0.16201664567907745,True,OK
EUP,binary_coefficient,0.33864061671005385,0.5759981199616601,True,OK
PIH,binary_coefficient,0.1622862672683103,0.40246994282540954,True,OK
polyhydramnios,binary_coefficient,0.10095690967849776,0.2945862498882783,True,OK
LIVE_BIRTH,not_estimable,,,False,NOT_FITTED
endo_resection_fallopian_tube,binary_coefficient,0.3110685855592158,0.5759981199616601,True,OK
endo_resection_ovarian_endometrioma_bilateral,binary_coefficient,0.31106858555921557,0.5759981199616601,True,OK
endo_resection_appendix,binary_coefficient,0.5411367322209195,0.7625108499476593,True,OK
endo_resection_adnexa,binary_coefficient,0.6300343652085265,0.8137943883943467,True,OK
vaginal_opening_during_surgery,binary_coefficient,0.33961202901778575,0.5759981199616601,True,OK
celestone,binary_coefficient,0.3053271465180628,0.5759981199616601,True,OK
intrapartum_fever_or_chorioamnionitis_bin,binary_coefficient,0.03741227258923076,0.17842776157940823,True,OK
diabetes_type,not_estimable,,,False,NOT_FITTED
bladder_lesion_resected,binary_coefficient,0.5935058282424843,0.7889247311502822,True,OK
mode_of_conception,categorical_omnibus,0.036075820267567525,0.17842776157940823,True,OK
endo_resection_lesion,binary_coefficient,0.30960921639941275,0.5759981199616601,True,OK
Fetus_Anamoly,binary_coefficient,0.5980558445816655,0.7889247311502822,True,OK
endo_resection_adhesiolysis,binary_coefficient,0.46250531633608616,0.6993982832399351,True,OK
bowel_lesion_resected,binary_coefficient,0.7074880363028486,0.860083495113267,True,OK
endo_resection_ovarian_endometrioma_unilateral,binary_coefficient,0.7942910828420253,0.8995775974385339,True,OK
height,continuous_coefficient,0.02089563586589854,0.16201664567907745,True,OK
AB,count_coefficient,0.8077279685817251,0.8995775974385339,True,OK
endo_resection_epiploica,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
endo_resection_uterus,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
SIPET,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE
meconium_stained_amniotic_fluid,binary_coefficient,0.4317394667038543,0.6863550496317684,True,OK
gestational_age_at_delivery_days,nonlinear_spline_omnibus,0.02868381731495916,0.16201664567907745,True,OK
weight_before_pregnancy,nonlinear_spline_omnibus,0.026697804650147296,0.16201664567907745,True,OK
Hb_before_delivery,continuous_coefficient,0.3437408135255068,0.5759981199616601,True,OK
weight_in_pregnancy,not_estimable,,,False,NOT_FITTED
BMI_after,not_estimable,,,False,NOT_FITTED
gestational_age_at_PPROM_days,not_estimable,,,False,NOT_FITTED
