predictor,clinical_meaning,inferential_role,row_type,model_analysis_N,model_events,model_non_events,model_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,hypothesis_type,raw_p,bh_q,in_bh_family,fit_status,separation_status,support_status,rarity_support_status,current_compact_ridge_member,historical_lasso_selection_frequency,historical_lasso_sign_consistency,adjusted_or,adjusted_ci_low,adjusted_ci_high,adjusted_p,adjusted_fit_status
adenomyosis,Adenomyosis (presence),BINARY,source,431.0,61.0,370.0,430.0,1.1792207792207787,0.680136985461902,2.044531727974898,0.5571148883310959,,,binary_coefficient,0.5571148883310959,0.7675805128117321,True,OK,none,OK,REVIEW_REQUIRED,False,0.06,1.0,1.0856414759242976,0.5969699627048402,1.9743328607470167,0.7877054704500397,OK
adenomyosis_feature_1,Adenomyosis sonographic finding: globular uterine configuration,BINARY,source,431.0,61.0,370.0,430.0,1.033565968760385,0.4958397200759986,2.154443398798021,0.9298003548340266,,,binary_coefficient,0.9298003548340266,0.9298003548340266,True,OK,none,OK,REVIEW_REQUIRED,False,0.2,0.8,1.2165291108515264,0.5593952998221157,2.6456122853013215,0.6209721084043451,OK
adenomyosis_feature_10,Adenomyosis sonographic finding: ill-defined endometrial-myometrial border,BINARY,source,431.0,61.0,370.0,430.0,0.6685185185185182,0.08278251508877399,5.398688468487957,0.7055458380344076,,,binary_coefficient,0.7055458380344076,0.860083495113267,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.16,1.0,0.5565967267860559,0.05916720971650418,5.23600686517646,0.6084210578254221,OK
adenomyosis_feature_11,Adenomyosis sonographic finding: diffuse myometrial vascularity (non-specific finding per source documentation),BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.76,1.0,,,,,NOT_FITTED
adenomyosis_feature_2,"Adenomyosis sonographic finding: ""question-mark""-shaped uterine contour",BINARY,source,431.0,61.0,370.0,430.0,1.2166666666666668,0.13900188763325844,10.649335796671568,0.8593645128805487,,,binary_coefficient,0.8593645128805487,0.9030610135354918,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.08,0.75,1.4485868781433022,0.1962703431755966,10.691395906163907,0.716321882872087,OK
adenomyosis_feature_3,Adenomyosis sonographic finding: myometrial wall asymmetry,BINARY,source,431.0,61.0,370.0,430.0,1.1001899335232665,0.4672160513784182,2.590702708639521,0.8270310169999425,,,binary_coefficient,0.8270310169999425,0.8995775974385339,True,OK,none,OK,REVIEW_REQUIRED,False,0.14,0.7142857142857143,1.1173744115885658,0.45437262201379625,2.7478010671932256,0.8089835885084146,OK
adenomyosis_feature_4,Adenomyosis sonographic finding: echogenic myometrial islands / increased echogenicity,BINARY,source,431.0,61.0,370.0,430.0,0.30508474576271194,0.07135274140981743,1.3044586691141784,0.10928199592629678,,,binary_coefficient,0.10928199592629678,0.2945862498882783,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.7,1.0,0.2522795455879837,0.05491532983995177,1.1589654347441767,0.0766727885431994,OK
adenomyosis_feature_5,Adenomyosis sonographic finding: myometrial cysts,BINARY,source,431.0,61.0,370.0,430.0,0.2769841269841271,0.036398346546985594,2.107793729094895,0.21503182206069116,,,binary_coefficient,0.21503182206069116,0.4761418917058161,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.24,1.0,0.2558535676428113,0.037555121933422524,1.743065784518115,0.16380224454361159,OK
adenomyosis_feature_6,Adenomyosis sonographic finding: junctional zone irregularity,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.04,1.0,,,,,NOT_FITTED
adenomyosis_feature_7,Adenomyosis sonographic finding: junctional zone thickening,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.78,1.0,,,,,NOT_FITTED
