Variable,Clinical Label,Stage,Overall,Vaginal delivery,Intrapartum CS,Missing n (%)
AB,Prior abortions/miscarriages,1,0.0 [0.0–1.0],0.0 [0.0–1.0],0.0 [0.0–1.0],0 (0.0%)
AGE,Maternal age,1,31.6 ± 4.8,31.3 ± 4.8,33.2 ± 4.8,0 (0.0%)
BMI_before,Pre-pregnancy BMI,1,22.0 [19.7–25.8],22.0 [19.9–25.7],21.9 [19.6–25.9],114 (26.5%)
CS,Number of prior cesarean sections,1,0.0 [0.0–0.0],0.0 [0.0–0.0],0.0 [0.0–0.0],0 (0.0%)
EUP,History of ectopic pregnancy,1,17 (3.9%),16 (4.3%),1 (1.6%),0 (0.0%)
Fetus_Anamoly,Fetal anomaly detected before delivery (current pregnancy),1,35 (8.1%),29 (7.8%),6 (9.8%),0 (0.0%)
G,Gravidity (number of pregnancies),1,2.0 [1.0–3.0],2.0 [1.0–3.0],1.0 [1.0–2.0],0 (0.0%)
IUGR,Intrauterine growth restriction (IUGR),1,18 (4.2%),15 (4.1%),3 (4.9%),0 (0.0%)
LIVE_BIRTH,Number of prior live births,1,0.0 [0.0–1.0],0.0 [0.0–1.0],0.0 [0.0–0.0],0 (0.0%)
P,Parity (number of previous deliveries),1,0.0 [0.0–1.0],0.0 [0.0–1.0],0.0 [0.0–0.0],0 (0.0%)
PIH,"Gestational hypertension (PIH), without proteinuria",1,10 (2.3%),7 (1.9%),3 (4.9%),0 (0.0%)
SIPET,Superimposed preeclampsia (chronic hypertension with new-onset preeclampsia),1,1 (0.2%),1 (0.3%),0 (0.0%),0 (0.0%)
S_P_CS,Status post previous cesarean section,1,18 (4.2%),14 (3.8%),4 (6.6%),0 (0.0%)
VBAC,Vaginal birth after cesarean (VBAC),1,2 (0.5%),2 (0.5%),0 (0.0%),0 (0.0%)
adenomyosis,Adenomyosis (presence),1,169 (39.2%),143 (38.6%),26 (42.6%),0 (0.0%)
adenomyosis_feature_1,Adenomyosis sonographic finding: globular uterine configuration,1,69 (16.0%),59 (15.9%),10 (16.4%),0 (0.0%)
adenomyosis_feature_10,Adenomyosis sonographic finding: ill-defined endometrial-myometrial border,1,10 (2.3%),9 (2.4%),1 (1.6%),0 (0.0%)
adenomyosis_feature_11,Adenomyosis sonographic finding: diffuse myometrial vascularity (non-specific finding per source documentation),1,1 (0.2%),0 (0.0%),1 (1.6%),0 (0.0%)
adenomyosis_feature_2,"Adenomyosis sonographic finding: ""question-mark""-shaped uterine contour",1,6 (1.4%),5 (1.4%),1 (1.6%),0 (0.0%)
adenomyosis_feature_3,Adenomyosis sonographic finding: myometrial wall asymmetry,1,46 (10.7%),39 (10.5%),7 (11.5%),0 (0.0%)
adenomyosis_feature_4,Adenomyosis sonographic finding: echogenic myometrial islands / increased echogenicity,1,39 (9.0%),37 (10.0%),2 (3.3%),0 (0.0%)
adenomyosis_feature_5,Adenomyosis sonographic finding: myometrial cysts,1,22 (5.1%),21 (5.7%),1 (1.6%),0 (0.0%)
adenomyosis_feature_6,Adenomyosis sonographic finding: junctional zone irregularity,1,4 (0.9%),4 (1.1%),0 (0.0%),0 (0.0%)
adenomyosis_feature_7,Adenomyosis sonographic finding: junctional zone thickening,1,1 (0.2%),0 (0.0%),1 (1.6%),0 (0.0%)
adenomyosis_feature_8,Adenomyosis sonographic finding: echogenic subendometrial buds (junctional zone),1,1 (0.2%),1 (0.3%),0 (0.0%),0 (0.0%)
adenomyosis_feature_9,Adenomyosis sonographic finding: fan-shaped shadowing,1,4 (0.9%),3 (0.8%),1 (1.6%),0 (0.0%)
adenomyosis_features_unknown,Adenomyosis sonographic finding: unspecified/not documented,1,39 (9.0%),33 (8.9%),6 (9.8%),0 (0.0%)
any_PET_cat: absent,Any pre-eclampsia,1,406 (94.2%),350 (94.6%),56 (91.8%),0 (0.0%)
any_PET_cat: present,Any pre-eclampsia,1,10 (2.3%),6 (1.6%),4 (6.6%),
any_PET_cat: not_documented,Any pre-eclampsia,1,15 (3.5%),14 (3.8%),1 (1.6%),
aspirin_during_pregnancy,Aspirin treatment during pregnancy,1,32 (7.4%),25 (6.8%),7 (11.5%),0 (0.0%)
bladder_lesion_resected,Bladder endometriosis lesion resected,1,16 (3.7%),13 (3.5%),3 (4.9%),0 (0.0%)
bowel_lesion_resected,Bowel endometriosis lesion resected,1,37 (8.6%),31 (8.4%),6 (9.8%),0 (0.0%)
celestone,Antenatal corticosteroids (Celestone),1,35 (8.1%),28 (7.6%),7 (11.5%),0 (0.0%)
