predictor,inferential_role,row_type,level,reference_level,reporting_unit,continuous_unit_scale,fit_status,separation_status,support_status,model_analysis_N,model_events,model_non_events,model_unique_subjects,value_1_n,value_0_n,value_1_events,value_0_events,level_n,level_events,level_non_events,level_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,spline_df,reason
nulliparity,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,237.0,194.0,51.0,10.0,,,,,5.045161290322577,2.482151629493694,10.254672656948593,7.746232074355201e-06,,,,
pregnancy_related_hypertensive_disorder,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,19.0,412.0,7.0,54.0,,,,,3.867283950617283,1.455245252630223,10.277226555228832,0.006681566927094917,,,,
gestational_diabetes,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,64.0,367.0,15.0,46.0,,,,,2.1362023070097584,1.107075691759206,4.121994846822421,0.023618473146623492,,,,
aspirin_during_pregnancy,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,32.0,399.0,7.0,54.0,,,,,1.7888888888888874,0.7361319828840357,4.347214264828702,0.19922511592296843,,,,
S_P_CS,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,18.0,413.0,4.0,57.0,,,,,1.784461152882205,0.5658554753038315,5.627411494844868,0.3230261064671762,,,,
AGE,CONTINUOUS,source,,,1 year,1.0,OK,none,NOT_APPLICABLE_CONTINUOUS_COUNT,431.0,61.0,370.0,430.0,,,,,,,,,1.0880062032289044,1.02600802041668,1.1537507258313942,0.004837230381809513,,linear_one_slope,,model_analysis_N / model_events / model_non_events describe sample and fit adequacy only (a per-unit continuous/count effect has no exposed-vs-unexposed contrast cells)
mode_of_conception_ivf_vs_all,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,125.0,306.0,22.0,39.0,,,,,1.462285287528006,0.8258602788258236,2.5891525684719756,0.19236924549034262,,,,
IUGR,BINARY,source,,0,n/a,,OK,none,SPARSE_EXPLORATORY,431.0,61.0,370.0,430.0,18.0,413.0,3.0,58.0,,,,,1.2241379310344838,0.3426525921413276,4.373274005699985,0.755568717996057,,,,
endometrioma,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,193.0,238.0,25.0,36.0,,,,,0.8349867724867727,0.4811191569707717,1.4491273110337468,0.5214344961457014,,,,
adenomyosis,BINARY,source,,0,n/a,,OK,none,OK,431.0,61.0,370.0,430.0,169.0,262.0,26.0,35.0,,,,,1.1792207792207787,0.680136985461902,2.044531727974898,0.5571148883310959,,,,
