repeat,pr_auc,auroc,brier,brier_skill,logloss,calibration_intercept,calibration_slope
1,0.3492645394094236,0.8086840939299955,0.10431816155066458,0.14141577280403161,0.3318280017475469,0.28827212988866824,1.1953203516718072
2,0.32699593105553515,0.7823216659282234,0.1075015477936999,0.11521510767809096,0.34315995584095577,0.055822467449878184,1.0438627979771284
3,0.34874867257895836,0.7978289765175011,0.10619615453819958,0.1259590667624948,0.3377342687761102,0.1789672217928776,1.1257210615099675
4,0.3556948547449674,0.810146211785556,0.10428649875947416,0.14167637146394862,0.3301229712424303,0.23350443757489803,1.164156917744566
5,0.35191572618332784,0.7907620735489589,0.1063464012092188,0.12472247075650433,0.3389905459745637,0.08568687335619639,1.0580600485125857
6,0.3359846894883363,0.7838502436863093,0.10723106232892006,0.11744132169771726,0.34200006112465486,0.03885018113354412,1.0358811644542005
7,0.3681603771224692,0.8067346034559149,0.10409191145047368,0.14327791036989623,0.3313105475947531,0.21048025722818167,1.1485791467340705
8,0.3622050184583475,0.807598582188746,0.1043341679538198,0.14128403308508974,0.33249342025000256,0.28665722588238873,1.2047757467727276
9,0.32365970374377734,0.7852015950376606,0.1076426702499323,0.11405360796199915,0.3443470643512392,0.05509344494512297,1.0398497754036569
10,0.3562258510784105,0.8035888347363758,0.10506630577412049,0.13525821768248136,0.33313980019445194,0.19013238588016534,1.1367932188613643
